url,label
https://www.google.com,legitimate
https://www.amazon.in,legitimate
https://www.paypal.com,legitimate
https://www.paytm.com,legitimate
https://www.icicibank.com,legitimate
https://www.onlinesbi.sbi,legitimate
https://www.hdfcbank.com,legitimate
https://www.netflix.com,legitimate
https://www.microsoft.com,legitimate
https://www.apple.com,legitimate
https://www.instagram.com,legitimate
https://www.facebook.com,legitimate
https://www.linkedin.com,legitimate
https://www.whatsapp.com,legitimate
https://www.uidai.gov.in,legitimate
https://www.incometax.gov.in,legitimate
